Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
SW19,SW_Push,Kailh_socket_MX,8.249508,-5.437008,0,top
SW20,SW_Push,Kailh_socket_MX,4.405758,-6.187008,0,top
SW22,SW_Push,Kailh_socket_MX,5.624508,-6.187008,0,top
SW23,SW_Push,Kailh_socket_MX,6.374508,-6.187008,0,top
SW24,SW_Push,Kailh_socket_MX,7.124508,-6.187008,0,top
SW25,SW_Push,Kailh_socket_MX,7.874508,-6.187008,0,top
SW26,SW_Push,Kailh_socket_MX,8.624508,-6.187008,0,top
SW27,SW_Push,Kailh_socket_MX,3.937008,-6.937008,0,top
SW28,SW_Push,Kailh_socket_MX,4.780758,-6.937008,0,top
SW29,SW_Push,Kailh_socket_MX,5.624508,-6.937008,0,top
SW30,SW_Push,Kailh_socket_MX,6.468258,-6.937008,0,top
SW31,SW_Push,Kailh_socket_MX,7.780758,-6.937008,0,top
SW141,SW_Push,Kailh_socket_MX,4.218258,-5.437008,180,top
SW271,SW_Push,Kailh_socket_MX,4.030758,-6.937008,180,top
SW281,SW_Push,Kailh_socket_MX,4.874508,-6.937008,180,top
